state,participation_act,composite_act,year,participation_sat,ebrw_sat,math_sat,total_sat,composite_act_normalized,total_sat_normalized,avg_score
Nevada,1.0,17.9,2019,0.2,580,576,1156,0.4972222222222222,0.7225,0.6098611111111111
New Hampshire,0.14,25.0,2019,0.95,533,526,1059,0.6944444444444444,0.661875,0.6781597222222222
New Jersey,0.25,24.2,2019,0.82,544,545,1090,0.6722222222222222,0.68125,0.6767361111111111
New Mexico,0.63,19.3,2019,0.18,543,530,1073,0.5361111111111111,0.670625,0.6033680555555556
New York,0.22,24.5,2019,0.79,531,533,1064,0.6805555555555556,0.665,0.6727777777777778
North Carolina,1.0,19.0,2019,0.51,554,546,1100,0.5277777777777778,0.6875,0.6076388888888888
North Dakota,0.96,19.9,2019,0.02,627,636,1263,0.5527777777777777,0.789375,0.6710763888888889
Ohio,1.0,20.0,2019,0.19,550,548,1097,0.5555555555555556,0.685625,0.6205902777777779
Oklahoma,1.0,18.9,2019,0.22,490,472,963,0.5249999999999999,0.601875,0.5634375
Oregon,0.42,21.1,2019,0.51,562,550,1112,0.5861111111111111,0.695,0.6405555555555555
Pennsylvania,0.17,23.6,2019,0.7,545,537,1082,0.6555555555555556,0.67625,0.6659027777777777
Rhode Island,0.12,24.7,2019,1.0,503,492,995,0.6861111111111111,0.621875,0.6539930555555555
South Carolina,0.78,18.8,2019,0.68,526,504,1030,0.5222222222222223,0.64375,0.5829861111111112
South Dakota,0.75,21.6,2019,0.03,633,635,1268,0.6000000000000001,0.7925,0.69625
Tennessee,1.0,19.4,2019,0.07,618,602,1220,0.5388888888888889,0.7625,0.6506944444444445
Texas,0.39,20.5,2019,0.68,515,507,1022,0.5694444444444444,0.63875,0.6040972222222223
Utah,1.0,20.3,2019,0.04,614,615,1230,0.5638888888888889,0.76875,0.6663194444444445
Vermont,0.2,24.1,2019,0.66,560,546,1106,0.6694444444444445,0.69125,0.6803472222222222
Virginia,0.21,24.0,2019,0.68,567,551,1119,0.6666666666666666,0.699375,0.6830208333333333
Washington,0.24,22.1,2019,0.7,539,535,1074,0.6138888888888889,0.67125,0.6425694444444445
West Virginia,0.49,20.8,2019,0.99,483,460,943,0.5777777777777778,0.589375,0.583576388888889
Wisconsin,1.0,20.3,2019,0.03,635,648,1283,0.5638888888888889,0.801875,0.6828819444444445
Wyoming,1.0,19.8,2019,0.03,623,615,1238,0.55,0.77375,0.661875
